,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
10,Cu3BTC2,Cu3BTC2,Ultem 1000,1000.0,1439.0,8.6,8.6,0.1,42.5,35,3.5,0.0310035354908893,36.77,1.35964912280702,1.08784335055752
34,Cu–BPY–HFS,Cu–BPY–HFS,Matrimid 5218,250.0,2000.0,8.0,8.0,0.3,,35,3.9,0.21,34.7142857142857,1.42112482853224,0.785358457873078
164,[Ni3(HCOO)6],[Ni3(HCOO)6],BTDA-TDI/MDI (P84),400.0,293.0,4.6,4.6,0.25,,30,5.0,0.0163636363636364,44.0,1.98611111111111,0.986363636363636
233,ZIF-8,ZIF-8,PEBAX 1657,151.0,1315.0,11.6,3.4,2.0,13.0,30,2.0,22.0,6.45454545454545,1.58450704225352,1.93661971830986
8,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1071.0,8.6,8.6,0.2,42.5,35,10.0,0.556179775280899,17.8,1.63636363636364,1.24719101123595
305,ZIF-8,ZIF-8,Matrimid 5218,50.0,1350.0,11.6,3.4,0.6,40.0,35,2.6,0.24,41.6666666666667,0.8,2.13333333333333
312,ZIF-8,ZIF-8,Matrimid 5218,120.0,1350.0,11.6,3.4,0.4,,35,5.0,0.24,33.3333333333333,5.625,1.28571428571429
457,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1600.0,12.0,3.4,0.1,55.0,35,5.0,0.355,23.3802816901408,1.42168674698795,2.01879518072289
66,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,2.07317073170732,0.894308943089431
429,MIL-53,MIL-53,Matrimid 5218,650.0,1350.0,,6.0,0.25,55.0,35,3.0,0.260869565217391,34.5,1.61111111111111,1.04347826086957
459,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1600.0,12.0,3.4,0.3,55.0,35,5.0,0.355,23.3802816901408,1.67469879518072,2.12327882960413
386,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.25,61.5,35,11.2,1.7,18.9411764705882,1.7111801242236,1.61611456176674
