,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
182,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.15,50.0,3,10.0,13.1,19.5419847328244,1.37109375,1.01476430084746
240,ZIF-8,ZIF-8,6FDA-HAB DAM,50.0,1350.0,11.6,3.4,0.1,60.0,35,1.0,2.3,50.8695652173913,1.64102564102564,0.857808857808858
36,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.32682926829268,1.06923970338605
481,MIL-53,MIL-53,PSF Udel P-3500,600.0,1140.0,8.0,8.0,0.4,87.5,35,4.0,4.89795918367347,24.0,2.24489795918367,0.708333333333333
369,MIL-53,MIL-53,6FDA-ODA,125.0,745.0,7.8,7.8,0.15,,35,11.2,2.97916666666667,4.8,1.0,2.25
300,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.35,50.0,25,6.0,34.0,,4.32441471571906,
90,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.95652173913043,0.907736021015386
329,ZIF-7,ZIF-7,PIM-1-TT,30.0,351.0,7.5,3.0,0.05,85.0,30,2.0,368.852459016393,12.2,0.955555555555556,1.02459016393443
479,MIL-53,MIL-53,PSF Udel P-3500,600.0,1140.0,8.0,8.0,0.16,87.5,35,4.0,4.89795918367347,24.0,1.20408163265306,1.375
133,Co4(μ4-O)(Me2pzba)3,Co4(μ4-O)(Me2pzba)3,Matrimid 5218,3000.0,1850.0,14.0,6.0,0.16,75.0,30,3.0,0.21,41.4285714285714,1.2183908045977,1.42145593869732
161,Fe-BTC,Fe-BTC,Matrimid 5218,50000.0,1500.0,8.5,5.5,0.3,61.5,35,5.0,0.354,25.1977401129944,1.50224215246637,1.28143065535685
497,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.21,125.0,25,2.0,35.0877192982456,28.5,2.38,0.421052631578947
433,MIL-53,MIL-53,PSF,1000.0,1475.0,,6.0,0.2,75.0,35,3.0,0.211570247933884,24.2,1.005859375,1.09504132231405
204,ZIF-8,ZIF-8,P84,30.0,1821.0,11.8,3.4,0.31,20.0,25,3.0,0.049,54.2857142857143,7.53759398496241,0.835615622767326
514,UiO-66,UiO-66,PIM-1-TT,150.0,1150.0,11.0,6.0,0.2,1.0,25,4.0,206.896551724138,14.5,2.66666666666667,0.655172413793103
439,MIL-53,MIL-53,PI,1000.0,1475.0,6.0,6.0,0.25,75.0,35,3.0,0.236842105263158,38.0,0.914444444444445,0.943421052631579
69,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.42222222222222,0.782140034771614
125,KAUST-7,KAUST-7,6FDA-Durene,80.0,248.0,4.7,4.7,0.33,50.0,35,2.0,31.4583333333333,24.0,1.34569536423841,1.33333333333333
238,ZIF-8,ZIF-8,6FDA-Durene,50.0,1500.0,11.6,3.4,0.15,,30,3.5,66.57,7.03034399879826,3.13253990299353,1.61029483661992
139,Fe-BTC,Fe-BTC,PEBAX 1657,200.0,1500.0,8.5,5.8,0.25,,25,3.0,3.84,18.4036458333333,2.1004669591057,1.19140223382066
190,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.28,,35,1.0,310.0,24.3888888888889,3.88382687927107,0.641365906668617
490,UiO-66,UiO-66,6FDA-ODA,50.0,951.0,11.0,6.0,0.04,100.0,25,2.0,0.717948717948718,39.0,1.0,1.0
361,ZIF-11,ZIF-11,Matrimid 5218,1000.0,1100.0,16.5,3.0,0.3,70.0,35,4.0,0.26,16.1538461538462,7.46666666666667,2.65936073059361
213,ZIF-8,ZIF-8,PEGDA,200.0,1500.0,11.8,3.4,0.3,125.0,35,,6.5,20.0,5.53846153846154,0.85
376,MIL-53,MIL-53,Matrimid 5218,125.0,840.0,7.8,7.8,0.15,61.5,35,11.2,0.2,31.0,1.48387096774194,0.0674486803519061
382,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.22,61.5,35,11.2,2.3,23.5217391304348,0.924214417744917,0.442852741836106
187,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.28,,35,1.0,310.0,24.3888888888889,0.972665148063781,0.897844752058875
396,MIL-53,MIL-53,Matrimid 5218,280.0,1440.0,8.5,8.5,0.15,,35,3.0,0.22,28.1818181818182,2.00483870967742,1.8377688172043
276,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.1,50.0,25,2.0,65.0,22.5892307692308,1.28155009194306,0.843125060488858
224,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.3,60.0,25,3.0,5.8,11.2068965517241,3.0,1.67307692307692
111,MOF-5,MOF-5,PEI,55.0,2387.0,8.67,8.67,0.05,35.0,25,3.0,0.09,18.6666666666667,1.36904761904762,1.02678571428571
509,UiO-66,UiO-66,Matrimid 9725,,940.0,11.0,6.0,0.3,85.0,35,9.0,0.189102564102564,31.2,3.01694915254237,1.19551282051282
208,ZIF-71,ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.1,60.0,35,3.5,36.2,34.0662983425414,1.5482484592929,1.03982549585163
231,ZIF-8,ZIF-8,PEBAX 1657,66.0,1637.0,11.6,3.4,8.0,13.0,30,2.0,39.0,3.8974358974359,1.74342105263158,3.39967105263158
344,ZIF-8,ZIF-8,6FDA-durene-PDMC.,,1350.0,11.6,3.4,0.33,70.0,35,3.5,30.0,15.6166666666667,3.31462113127001,0.708757191290808
326,ZIF-8,ZIF-8,Matrimid 5218,,1650.0,11.6,3.4,0.1,55.0,33,4.5,0.333333333333333,33.0,2.0,0.939393939393939
189,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.43,,35,1.0,310.0,24.3888888888889,1.43507972665148,0.738041002277904
290,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.2,50.0,25,2.0,42.0,8.35714285714286,2.43304843304843,0.804630190456962
401,MIL-53,MIL-53,PMP,110.0,1440.0,7.8,7.8,0.2,65.0,30,2.0,11.32,8.7226148409894,1.66882722300993,2.11783903189152
174,Cu3BDC2,Cu3BDC2,PIM-1-TT,27.5,180.0,5.2,5.2,0.002,0.2,25,1.0,489.0,3.0,0.318983050847458,3.46666666666667
302,ZIF-8,ZIF-8,Matrimid 5218,50.0,1350.0,11.6,3.4,0.3,40.0,35,2.6,0.24,41.6666666666667,1.5,0.923076923076923
105,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,3.41304347826087,0.939058371366803
277,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.15,50.0,25,2.0,65.0,22.5892307692308,1.32152829803174,0.797579752758245
169,MOF-74,MOF-74,PIM-1-TD,11000.0,1250.0,11.0,11.0,0.2,50.0,25,2.0,536.0,12.2686567164179,1.14142335766423,0.762846533301782
221,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.05,60.0,25,3.0,5.8,11.2068965517241,1.26153846153846,1.24015645371578
52,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,2.14285714285714,0.901617250673855
218,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.1,60.0,25,3.0,5.8,11.2068965517241,1.32307692307692,1.03700623700624
320,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.3,55.0,22,4.0,0.23,35.0869565217391,3.55885997521685,0.705636029568859
356,ZIF-7,ZIF-7,XLPEO,40.0,417.0,7.5,3.0,0.36,100.0,35,5.0,4.56521739130435,23.0,5.04761904761905,0.521739130434783
269,ZIF-67,ZIF-67,PEBAX 1657,300.0,1465.0,11.6,3.3,0.02,95.0,35,11.0,4.1,17.0975609756098,1.57631954350927,1.154091094355
524,UiO-66,UiO-66,Matrimid 5218,350.0,980.0,11.0,6.0,0.3,100.0,25,3.0,0.6,30.0,2.94444444444444,1.32666666666667
3,Cu3BTC2,Cu3BTC2,Azide-PMP,100.0,1232.0,8.6,8.6,0.2,60.0,30,2.0,10.5,9.25714285714286,1.47942386831276,2.63287298598033
325,ZIF-8,ZIF-8,Matrimid 5218,,1650.0,11.6,3.4,0.1,55.0,33,4.5,0.333333333333333,33.0,1.27272727272727,1.07575757575758
35,Cu–BPY–HFS,Cu–BPY–HFS,Matrimid 5218,250.0,2000.0,8.0,8.0,0.4,,35,3.9,0.21,34.7142857142857,2.06584362139918,0.735300272023436
217,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.05,60.0,25,3.0,5.8,11.2068965517241,1.2,1.05454545454545
28,Cu3BTC2,Cu3BTC2,PPO,6000.0,2262.2,8.6,8.6,0.1,30.0,30,10.0,4.39490445859873,15.7,1.2463768115942,1.79617834394904
485,UiO-66,UiO-66,6FDA-BisP,50.0,951.0,11.0,6.0,0.21,45.0,25,2.0,1.0,28.0,5.53571428571429,0.857142857142857
146,sod-ZMOF,sod-ZMOF,Matrimid 5218,2000.0,33.0,1.6,9.6,0.1,47.5,30,4.0,0.15,37.2666666666667,1.34883720930233,0.963455149501661
6,MMIF,MMIF,Matrimid 5218,45.0,420.0,3.35,3.35,0.1,40.0,35,4.0,0.19,35.8947368421053,1.06304985337243,1.08010412909499
342,ZIF-8,ZIF-8,TBDA2-6FDA,45.0,1250.0,11.6,3.4,0.3,,35,1.0,8.0,35.625,3.70526315789474,0.570040485829959
20,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.2,55.0,35,2.0,1.62854216456128,29.29,3.29140461215933,0.938886992147491
254,ZIF-8,ZIF-8,PEBAX 1657,275.0,1029.0,11.6,3.4,0.1,80.0,25,1.0,4.0,19.0,1.27631578947368,1.02105263157895
219,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.2,60.0,25,3.0,5.8,11.2068965517241,1.4,1.06842105263158
317,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.2,55.0,22,4.0,0.23,35.0869565217391,1.60594795539033,1.19150977335412
268,ZIF-8,ZIF-8,PEBAX 1657,700.0,1506.0,11.6,3.4,0.05,95.0,35,11.0,4.1,17.0975609756098,1.85449358059914,1.08620338292236
387,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.3,61.5,35,11.2,1.7,18.9411764705882,1.8167701863354,1.93031832298137
308,ZIF-11,ZIF-11,6FDA,1100.0,350.29,14.6,3.0,0.3,70.0,35,4.0,0.63,32.6984126984127,3.54611650485437,0.930855582524272
281,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.05,50.0,25,6.0,68.1,20.0558002936858,1.15888124176307,0.963611875019109
372,MIL-53,MIL-53,6FDA-ODA,125.0,745.0,7.8,7.8,0.3,,35,11.2,2.97916666666667,4.8,1.01398601398601,3.25
44,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,1.73333333333333,1.17804391217565
316,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.2,55.0,22,4.0,0.23,35.0869565217391,1.08798017348203,1.08798017348203
472,MIL-101,MIL-101,SPEEK,500.0,3175.0,19.9,7.5,0.3,65.0,25,1.0,75.3968253968254,7.56,2.10526315789474,1.6031746031746
442,MIL-68,MIL-68,PSF,794.0,100.0,6.0,6.0,0.04,,35,0.27,0.19,28.4210526315789,0.87037037037037,0.97276688453159
527,UiO-66,UiO-66,6FDD,324.0,537.0,11.0,6.0,0.3,50.0,35,3.0,5.3,31.1320754716981,2.04787878787879,0.952083997873471
183,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.2,50.0,3,10.0,13.1,19.5419847328244,1.53125,1.04475911458333
536,UiO-66,UiO-66,6FDA-ODA,200.0,857.0,11.0,6.0,0.25,30.0,35,11.2,0.33,43.6363636363636,3.5,1.05
400,MIL-53,MIL-53,PMP,110.0,1440.0,7.8,7.8,0.15,65.0,30,2.0,11.32,8.7226148409894,1.41340895280535,1.80380939636489
94,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,3.04444444444444,0.953226053639847
289,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.15,50.0,25,2.0,42.0,8.35714285714286,1.63532763532764,0.738535061115706
205,ZIF-71,ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.1,60.0,35,3.5,322.2,10.2256362507759,1.29632439979361,1.10671892319422
358,ZIF-7,ZIF-7,PEI,40.0,350.0,7.5,3.0,0.05,400.0,35,2.03,18.9,4.36507936507937,2.98060606060606,0.522089476788272
437,MIL-53,MIL-53,PI,1000.0,1475.0,6.0,6.0,0.15,75.0,35,3.0,0.236842105263158,38.0,0.938888888888889,1.01315789473684
523,UiO-66,UiO-66,Matrimid 5218,350.0,980.0,11.0,6.0,0.2,100.0,25,3.0,0.6,30.0,2.22222222222222,1.4
333,ZIF-7,ZIF-7,PIM-1-TT,30.0,426.0,7.5,3.0,0.05,85.0,30,2.0,368.852459016393,12.2,0.988888888888889,1.0655737704918
142,NOTT-300,NOTT-300,PEBAX 1657,900.0,1370.0,6.5,6.5,0.2,60.0,25,10.0,3.8,21.6184210526316,1.76506390748631,1.17670927165754
351,ZIF-7,ZIF-7,XLPEO,70.0,350.0,7.5,3.0,0.28,100.0,35,5.0,4.56521739130435,23.0,1.28571428571429,1.58636897767333
286,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.3,50.0,25,6.0,68.1,20.0558002936858,1.56340606238102,0.92180045755972
350,ZIF-7,ZIF-7,XLPEO,70.0,350.0,7.5,3.0,0.17,100.0,35,5.0,4.56521739130435,23.0,1.19047619047619,1.29399585921325
417,MIL-53,MIL-53,Matrimid 5218,100.0,1590.0,8.5,8.5,0.375,55.0,35,2.0,0.22,38.1818181818182,4.76190476190476,2.38095238095238
412,Cu3BTC2,Cu3BTC2,PVDF,15000.0,626.0,,,0.1,,25,0.5,0.043,21.2790697674419,1.75081967213115,1.71102831594635
77,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,2.26190476190476,1.07320162107396
97,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,3.0,0.989644970414201
511,UiO-66,UiO-66,Matrimid 9725,,873.0,11.0,6.0,0.3,85.0,35,9.0,0.189102564102564,31.2,6.44067796610169,1.52884615384615
54,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.25333333333333,0.737041306436119
413,Cu3BTC2,Cu3BTC2,PVDF,15000.0,626.0,,,0.15,,25,0.5,0.043,21.2790697674419,2.17158469945355,2.1222305017387
380,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.1,61.5,35,11.2,2.3,23.5217391304348,0.946395563770795,1.20928322037379
223,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.2,60.0,25,3.0,5.8,11.2068965517241,2.53846153846154,1.60033444816054
168,MOF-74,MOF-74,PIM-1-TD,11000.0,1250.0,11.0,11.0,0.2,50.0,25,2.0,536.0,12.2686567164179,3.23433698296837,1.55619804566521
163,[Ni3(HCOO)6],[Ni3(HCOO)6],BTDA-TDI/MDI (P84),400.0,293.0,4.6,4.6,0.15,,30,5.0,0.0163636363636364,44.0,1.75,1.52272727272727
193,ZIF-71,ZIF-71,6FDA-Durene,100.0,679.0,16.5,4.2,0.2,,35,3.5,58.6,14.7085889570552,4.17726798748697,0.867381760459077
421,MIL-101,MIL-101,6FDA-mPD,250.0,2770.0,12.0,12.0,0.16,,35,3.0,0.185185185185185,54.0,2.9,1.0
2,Cu3BTC2,Cu3BTC2,Azide-PMP,100.0,1232.0,8.6,8.6,0.15,60.0,30,2.0,10.5,9.25714285714286,1.2798353909465,2.44332210998878
278,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.2,50.0,25,2.0,65.0,22.5892307692308,1.38091670639515,0.748620399630399
251,ZIF-8,ZIF-8,PVC-g-POEM,250.0,1350.0,11.6,3.4,0.1,,35,1.0,2.4,18.125,4.84137931034483,0.790429275158339
483,UiO-66,UiO-66,6FDA-BisP,50.0,951.0,11.0,6.0,0.08,45.0,25,2.0,1.0,28.0,2.85714285714286,1.30357142857143
493,UiO-66,UiO-66,6FDA-ODA,50.0,951.0,11.0,6.0,0.21,100.0,25,2.0,0.717948717948718,39.0,2.57142857142857,0.31025641025641
395,MIL-53,MIL-53,Matrimid 5218,280.0,1440.0,8.5,8.5,0.1,,35,3.0,0.22,28.1818181818182,1.20161290322581,1.10147849462366
486,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.04,45.0,25,2.0,33.8983050847458,29.5,1.29,1.03050847457627
19,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.15,55.0,35,2.0,1.62854216456128,29.29,2.57861635220126,0.914988050529191
407,MIL-53,MIL-53,PVDF,100.0,782.0,7.8,7.8,0.1,,25,0.5,0.043,21.2790697674419,1.53661202185792,1.22359846184983
143,NOTT-300,NOTT-300,PEBAX 1657,900.0,1370.0,6.5,6.5,0.3,60.0,25,10.0,3.8,21.6184210526316,3.21363359707851,1.2922547797776
51,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.98536585365854,0.762269612224918
375,MIL-53,MIL-53,Matrimid 5218,125.0,1440.0,8.5,8.5,0.15,61.5,35,11.2,0.2,31.0,1.08064516129032,0.304407087687415
108,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,3.18181818181818,0.909668476377498
355,ZIF-7,ZIF-7,XLPEO,40.0,417.0,7.5,3.0,0.3,100.0,35,5.0,4.56521739130435,23.0,2.04761904761905,2.43478260869565
455,ZIF-8,ZIF-8,Matrimid 5218,300.0,1550.0,1.16,3.4,0.2,55.0,35,5.0,0.355,23.3802816901408,2.14457831325301,1.8345187980839
47,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,1.85238095238095,0.91389591234724
24,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.1,55.0,35,2.0,0.202666666666667,37.5,2.02631578947368,1.01333333333333
310,ZIF-8,ZIF-8,Matrimid 5218,120.0,1350.0,11.6,3.4,0.2,,35,5.0,0.24,33.3333333333333,2.3125,1.85
301,ZIF-8,ZIF-8,Matrimid 5218,50.0,1350.0,11.6,3.4,0.2,40.0,35,2.6,0.24,41.6666666666667,0.8,1.06666666666667
496,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.14,125.0,25,2.0,35.0877192982456,28.5,2.05,1.07017543859649
155,MOF-5,MOF-5,Matrimid 5218,100.0,3000.0,11.0,11.0,0.3,35.0,35,2.0,0.22,40.9090909090909,2.24444444444444,1.09728395061728
106,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,2.80487804878049,0.977928955200804
303,ZIF-8,ZIF-8,Matrimid 5218,50.0,1350.0,11.6,3.4,0.4,40.0,35,2.6,0.24,41.6666666666667,2.6,0.701123595505618
434,MIL-53,MIL-53,PSF,1000.0,1475.0,,6.0,0.25,75.0,35,3.0,0.211570247933884,24.2,1.07421875,1.16528925619835
192,ZIF-71,ZIF-71,6FDA-Durene,100.0,679.0,16.5,4.2,0.1,,35,3.5,58.6,14.7085889570552,1.88216892596455,1.01419350390817
136,Fe-BTC,Fe-BTC,PEBAX 1657,200.0,1500.0,8.5,5.8,0.1,,25,3.0,3.84,18.4036458333333,1.16485071458893,1.05247688094624
293,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.35,50.0,25,2.0,42.0,8.35714285714286,3.66666666666667,4.52941176470588
362,ZIF-11,ZIF-11,Matrimid 5218,1000.0,1100.0,16.5,3.0,0.4,70.0,35,4.0,0.26,16.1538461538462,2.38095238095238,4.12698412698413
245,ZIF-8,ZIF-8,6FDA-HAB DAM,50.0,1350.0,11.6,3.4,0.2,60.0,35,1.0,2.3,50.8695652173913,1.91452991452991,0.721871934986689
225,ZIF-108,ZIF-108,P84,,384.0,16.4,5.5,0.05,,30,3.0,0.0980662983425414,72.4,4.12676056338028,0.984806629834254
319,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.2,55.0,22,4.0,0.23,35.0869565217391,2.06071871127633,1.03035935563817
95,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,3.10869565217391,1.0488688582538
304,ZIF-8,ZIF-8,Matrimid 5218,50.0,1350.0,11.6,3.4,0.5,40.0,35,2.6,0.24,41.6666666666667,0.5,2.4
23,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.5,55.0,35,2.0,1.62854216456128,29.29,10.335429769392,0.355069989757596
48,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,1.87727272727273,0.887366310160428
261,ZIF-8,ZIF-8,PEBAX 1657,250.0,698.0,11.6,3.4,0.2,80.0,25,1.0,4.0,19.0,1.97368421052632,1.09649122807018
39,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,1.69777777777778,1.18583247863248
259,ZIF-8,ZIF-8,PEBAX 1657,250.0,698.0,11.6,3.4,0.1,80.0,25,1.0,4.0,19.0,1.21052631578947,1.72932330827068
505,UiO-66,UiO-66,6FDA-DAM,,913.0,11.0,6.0,0.24,125.0,25,2.0,35.0877192982456,28.5,1.45,0.807017543859649
288,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.1,50.0,25,2.0,42.0,8.35714285714286,1.21652421652422,1.02188034188034
11,Cu3BTC2,Cu3BTC2,Ultem 1000,1000.0,1439.0,8.6,8.6,0.2,42.5,35,3.5,0.0310035354908893,36.77,2.08771929824561,1.02529235790046
185,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.4,50.0,3,10.0,13.1,19.5419847328244,3.04296875,1.06585269050802
309,ZIF-8,ZIF-8,Matrimid 5218,120.0,1350.0,11.6,3.4,0.1,,35,5.0,0.24,33.3333333333333,1.5625,1.5
446,MIL-53,MIL-53,FDH,100.0,1400.0,8.5,8.5,0.1,,35,11.2,3.0,18.0333333333333,1.13493530499076,0.873027157685198
191,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.43,,35,1.0,310.0,24.3888888888889,4.40774487471526,0.450792089459515
58,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,1.91363636363636,0.875138580931264
398,MIL-53,MIL-53,PMP,110.0,1440.0,7.8,7.8,0.05,65.0,30,2.0,11.32,8.7226148409894,1.08689487543042,1.3595193358975
275,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.07,50.0,25,2.0,65.0,22.5892307692308,1.20785942927195,0.86086472481005
504,UiO-66,UiO-66,6FDA-DAM,,913.0,11.0,6.0,0.16,125.0,25,2.0,35.0877192982456,28.5,1.25,1.12280701754386
160,Fe-BTC,Fe-BTC,Matrimid 5218,50000.0,1500.0,8.5,5.5,0.2,61.5,35,5.0,0.354,25.1977401129944,1.17040358744395,1.07060173115028
335,ZIF-7,ZIF-7,PIM-1-TT,30.0,426.0,7.5,3.0,0.2,85.0,30,2.0,368.852459016393,12.2,0.633333333333333,1.72131147540984
59,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.17777777777778,0.890730730730731
348,ZIF-67,ZIF-67,PIM-1-TT,300.0,1481.0,11.6,3.4,0.2,85.0,30,2.0,360.0,6.2,1.56818181818182,1.90322580645161
13,Cu3BTC2,Cu3BTC2,Ultem 1000,1000.0,1439.0,8.6,8.6,0.4,42.5,35,3.5,0.0310035354908893,36.77,10.0438596491228,0.579276584171879
539,HKUST-1,HKUST-1,6FDA-ODA,15000.0,809.0,9.5,3.5,0.25,30.0,35,11.2,0.33,43.6363636363636,1.51388888888889,1.16182170542636
103,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,3.09545454545455,0.783439001942939
154,MOF-5,MOF-5,Matrimid 5218,100.0,3000.0,11.0,11.0,0.2,35.0,35,2.0,0.22,40.9090909090909,1.53333333333333,0.992156862745098
502,UiO-66,UiO-66,6FDA-DAM,,913.0,11.0,6.0,0.06,125.0,25,2.0,35.0877192982456,28.5,1.17,1.08771929824561
239,ZIF-8,ZIF-8,6FDA-Durene,50.0,1500.0,11.6,3.4,0.2,,30,3.5,66.57,7.03034399879826,3.12548877160744,1.27568232695222
56,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.84878048780488,1.00427582053598
242,ZIF-8,ZIF-8,6FDA-HAB DAM-5,50.0,1350.0,11.6,3.4,0.1,60.0,35,1.0,6.9,33.768115942029,1.53218884120172,0.997368207952061
17,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.1,55.0,35,2.0,1.62854216456128,29.29,2.47379454926625,0.904745646978491
403,MIL-53,MIL-53,PMP,110.0,1440.0,7.8,7.8,0.3,65.0,30,2.0,11.32,8.7226148409894,2.29258659104719,2.56443480342433
338,ZIF-8,ZIF-8,TBDA2-6FDA,45.0,1250.0,11.6,3.4,0.2,,35,1.0,8.0,35.625,3.14385964912281,0.598830409356725
60,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,1.87826086956522,0.728484355952865
503,UiO-66,UiO-66,6FDA-DAM,,913.0,11.0,6.0,0.11,125.0,25,2.0,35.0877192982456,28.5,1.2,1.10526315789474
427,MIL-53,MIL-53,Matrimid 5218,650.0,1350.0,,6.0,0.08,55.0,35,3.0,0.260869565217391,34.5,0.877777777777778,1.10144927536232
443,MIL-68,MIL-68,PSF,1040.0,100.0,6.0,6.0,0.08,,35,0.27,0.19,28.4210526315789,0.87037037037037,0.826851851851852
37,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,1.66666666666667,1.23068432671082
324,ZIF-7,ZIF-7,Matrimid 5218,,1100.0,11.6,3.4,0.15,40.0,35,3.45,0.258840579710145,34.5,2.23964165733483,1.04347826086957
262,ZIF-7,ZIF-7,PEBAX 1657,35.0,1100.0,7.5,3.0,0.08,0.498,20,3.5,5.14285714285714,14.0,2.01388888888889,1.64285714285714
